path,label
G-I-U-P,Public Water Services
G-I-U-R,Technological Research Facility
G-I-U-T,Telecommunications Facility
G-I-U-T-com,Communications
G-I-U-T-com-af,Antenna Farm
G-I-U-T-com-sat,Satellite Communications
G-I-U-T-com-tow,Tower
G-I-U-T-r,Radio
G-I-U-T-r-s,Radio Station
G-I-U-T-tp,Telephone
G-I-U-T-tp-ts,Telephone Switching
G-I-U-T-tv,Television
G-I-U-T-tv-c,Cable
G-I-U-T-tv-s,Television Station
G-I-X,Medical Facility
G-I-X-H,Hospital
G-I-X-hcf,Hospital Care Facility
G-I-c,Civilian
G-I-c-b,Bridge
G-I-c-bar,Fence/Wall/Barrier
G-I-c-can,Canal
G-I-c-can-l,Canal Lock
G-I-c-frm,Farm
G-I-c-l,Levy
G-I-c-mon,Monument
G-I-c-o,Offices
G-I-c-rah,Residence/Apartment/Hotel
G-I-c-rel,Religous
G-I-c-res,Resevoir
G-I-c-ret,Retail
G-I-c-sch,School
G-I-c-vip,VIP
G-I-c-whs,Warehouse
G-I-i,IM Facilities
G-I-i-e,Emergency Management Facility
G-I-i-e-eoc,Emergency Operations Center
G-I-i-e-ic,Incident Commander
G-I-i-e-icc,Incident Communications Center
G-I-i-e-icp,Incident Command Post
G-I-i-e-wr,War Room
G-I-i-f,Fire/Hazmat
G-I-i-f-fd,Fire Department
G-I-i-h,Health and Medical Facility
G-I-i-h-md,Medical Dispatch
G-I-i-l,Law Enforcement Facility
G-I-i-l-cp,Police Checkpoint
G-I-i-l-hp,Highway Patrol
G-I-i-l-lp,Local Police
G-I-i-l-ntz,No Trespassing Zone
G-I-i-l-sd,Sheriffs Department
G-I-i-l-sp,State Police
G-I-i-m,Emergency Medical Services Facility
G-I-i-o,Other Facility
G-I-i-o-ad,Agency Dispatch
G-I-i-o-ad-ems,EMS (Agency Dispatch)
G-I-i-o-ad-f,Fire (Agency Dispatch)
G-I-i-o-ad-hwy,Highway (Agency Dispatch)
G-I-i-o-ad-mda,Media (Agency Dispatch)
G-I-i-o-ad-pl,Police Local (Agency Dispatch)
G-I-i-o-ad-ps,Police Station (Agency Dispatch)
G-I-i-o-ad-tow,Tow (Agency Dispatch)
G-I-i-o-ad-ts,Transit (Agency Dispatch)
G-I-i-o-bcc,Border Control Checkpoint
G-I-i-o-dmz,DMZ
G-I-i-o-isp,Independent Service Provider
G-I-i-o-mc,Mobile Center
G-I-i-o-mc-f,Fire (Mobile Center)
G-I-i-o-mc-h,Medical (Mobile Center)
G-I-i-o-mc-l,Law Enforcement (Mobile Center)
G-I-i-o-mes,Message Center
G-I-i-o-mob,Mobilization Center
G-I-i-o-mob-ems,EMS (Mobilization Center)
G-I-i-o-mob-es,Transit (Mobilization Center)
G-I-i-o-mob-f,Fire (Mobilization Center)
G-I-i-o-mob-hwy,Highway (Mobilization Center)
G-I-i-o-mob-mda,Media (Mobilization Center)
G-I-i-o-mob-pl,Ploce Local
G-I-i-o-mob-ps,Police Station (Mobilization Center)
G-I-i-o-mob-tow,Tow (Mobilization Center)
G-I-i-o-ps,Public Safety
G-I-i-o-rl,Reporting Locations
G-I-i-o-sa,Staging Area
G-I-i-o-sa-ems,EMS (Staging Area)
G-I-i-o-sa-f,Fire (Staging Area)
G-I-i-o-sa-hwy,Highway (Staging Area)
G-I-i-o-sa-mda,Media (Staging Area)
G-I-i-o-sa-pl,Police Local (Staging Area)
G-I-i-o-sa-ps,Police Station (Staging Area)
G-I-i-o-sa-tow,Tow (Staging Area)
G-I-i-o-sa-ts,Transit (Staging Area)
G-I-i-o-sc,Security Checkpoint
G-I-i-o-seg,Segment
G-I-i-o-t,Transportation
G-I-i-o-t-im,Transit Incident Management Center
G-I-i-o-t-tc,Transit Management Center
G-I-i-o-t-td,Traffic Inc Service Patrol Dispatch
G-I-i-o-t-tm,Traffic Management Center
G-I-i-o-tmp,Temporary
G-I-i-o-tmp-f,Fire (Temporary)
G-I-i-o-tmp-h,Medical (Temporary)
G-I-i-o-tmp-l,Law Enforcement (Temporary)
G-I-i-p,Public Works Facility
G-I-r,Road
G-I-r-h,Road (Highway)
G-I-r-i,Road (Improved)
G-I-r-ra,Rest Area
G-I-r-u,Road (Un-improved)
G-U,Ground Unit
G-U-C,Ground Combat Unit
G-U-C-A,Armor Unit
G-U-C-A-A,Anti Armor
G-U-C-A-A-A,Anti Armor Armored
G-U-C-A-A-A-S,Anti Armor Armored Air Assault
G-U-C-A-A-A-T,Anti Armor Armored Tracked
G-U-C-A-A-A-W,Anti Armor Armored Wheeled
G-U-C-A-A-C,Anti Armor Arctic
G-U-C-A-A-D,Anti Armor Dismounted
G-U-C-A-A-L,Anti Armor Light
G-U-C-A-A-M,Anti Armor Airborne
G-U-C-A-A-O,Anti Armor Motorized
G-U-C-A-A-O-S,Anti Armor Motorized Air Assault
G-U-C-A-A-S,Anti Armor Air Assault
G-U-C-A-A-U,Anti Armor Mountain
G-U-C-A-T,Armor Track
G-U-C-A-T-A,Armor Track Airborne
G-U-C-A-T-H,"Armor Track, Heavy"
G-U-C-A-T-L,"Armor Track, Light"
G-U-C-A-T-M,"Armor Track, Medium"
G-U-C-A-T-R,"Armor Track, Recovery"
G-U-C-A-T-W,Armor Track Amphibious
G-U-C-A-T-W-R,Armor Track Amphibious Recovery
G-U-C-A-W,"Armor, Wheeled"
G-U-C-A-W-A,"Armor, Wheeled Airborne"
G-U-C-A-W-H,"Armor, Wheeled Heavy"
G-U-C-A-W-L,"Armor, Wheeled Light"
G-U-C-A-W-M,"Armor, Wheeled Medium"
G-U-C-A-W-R,"Armor, Wheeled Recovery"
G-U-C-A-W-S,"Armor, Wheeled Air Assault"
G-U-C-A-W-W,"Armor, Wheeled Amphibious"
G-U-C-A-W-W-R,"Armor, Wheeled Amphibious Recovery"
G-U-C-D,Air Defense Unit
G-U-C-D-C,Air Defense Composite
G-U-C-D-G,Gun Unit
G-U-C-D-H,H/MAD
G-U-C-D-H-H,HAWK
G-U-C-D-H-P,Patriot
G-U-C-D-M,Air Defense Missile
G-U-C-D-M-H,Air Defense Missile Heavy
G-U-C-D-M-L,Air Defense Missile Light
G-U-C-D-M-L-A,Air Defense Missile Motorized (Avenger)
G-U-C-D-M-M,Air Defense Missile Medium
G-U-C-D-O,Theater Missile Defense Unit
G-U-C-D-S,Short Range
G-U-C-D-S-S,Stinger
G-U-C-D-S-V,VULCAN
G-U-C-D-T,Targeting Unit
G-U-C-E,Engineer Unit
G-U-C-E-C,Engineer Combat
G-U-C-E-C-A,Engineer Combat Airborne
G-U-C-E-C-C,Engineer Combat Arctic
G-U-C-E-C-H,Engineer Combat Heavy
G-U-C-E-C-L,Engineer Combat Light (Sapper)
G-U-C-E-C-M,Engineer Combat Medium
G-U-C-E-C-O,Engineer Combat Mountain
G-U-C-E-C-R,Engineer Combat Recon
G-U-C-E-C-S,Engineer Combat Air Assault
G-U-C-E-C-T,Engineer Combat Mechanized (Track)
G-U-C-E-C-W,Engineer Combat Motorized
G-U-C-E-N,Engineer Construction
G-U-C-E-N-N,Engineer Naval Construction
G-U-C-F,Field Artillery Unit
G-U-C-F-H,Howitzer/Gun
G-U-C-F-H-A,Howitzer/Gun (Airborne)
G-U-C-F-H-C,Arctic
G-U-C-F-H-E,Artillery (Mobile)
G-U-C-F-H-H,Howitzer/Gun (Heavy)
G-U-C-F-H-L,Howitzer/Gun (Light)
G-U-C-F-H-M,Medium
G-U-C-F-H-O,Howitzer/Gun (Mountain)
G-U-C-F-H-S,Howitzer/Gun (Air Assault)
G-U-C-F-H-X,Amphibious
G-U-C-F-M,Mortar Unit
G-U-C-F-M-L,Amphibious Mortar
G-U-C-F-M-S,Self Propelled (SP) Tracked Mortar
G-U-C-F-M-T,Towed Mortar
G-U-C-F-M-T-A,Towed Airborne Mortar
G-U-C-F-M-T-C,Towed Arctic Mortar
G-U-C-F-M-T-O,Towed Mountain Mortar
G-U-C-F-M-T-S,Towed Air Assault Mortar
G-U-C-F-M-W,SP Wheeled Mortar
G-U-C-F-O,Field Artillery Meteorological
G-U-C-F-O-A,Airborne Meteorological
G-U-C-F-O-L,Light Meteorological
G-U-C-F-O-O,Mountain Meteorological
G-U-C-F-O-S,Air Assault Meteorological
G-U-C-F-R,Rocket
G-U-C-F-R-M,Rockets (Fixed)
G-U-C-F-R-M-R,Rockets (Mobile)
