ident,le_ident,he_ident,length_ft,width_ft,surface,lighted,closed,le_lat,le_lon,he_lat,he_lon,le_heading
KCTB,05,23,5300,75,Asphalt,1,0,48.6065,-112.3850,48.6129,-112.3660,64
KCTB,14,32,5300,75,Asphalt,1,0,48.6134,-112.3820,48.6006,-112.3720,152
KCTJ,17,35,5503,100,Asphalt,1,0,33.6394,-85.1549,33.6244,-85.1497,164
KCTK,09,27,3294,60,Asphalt,1,0,40.5707,-90.0817,40.5707,-90.0699,90
KCTK,18,36,3899,75,Asphalt,1,0,40.5731,-90.0739,40.5624,-90.0742,181
KCTY,04,22,5005,75,Asphalt,1,0,29.6340,-83.1079,29.6440,-83.0970,44
KCTY,13,31,5001,100,Asphalt,1,0,29.6368,-83.1127,29.6273,-83.1013,134
KCTZ,06,24,5008,75,Asphalt,1,0,34.9720,-78.3701,34.9793,-78.3591,51
KCUB,13,31,5011,75,Asphalt,1,0,33.9746,-81.0018,33.9663,-80.9886,127
KCUH,02,20,2650,60,Gravel,0,0,35.9473,-96.7747,35.9540,-96.7703,29
KCUH,08,26,2700,40,Gravel,0,0,35.9506,-96.7817,35.9506,-96.7725,90
KCUH,11,29,2500,50,Gravel,0,0,35.9509,-96.7811,35.9471,-96.7738,122
KCUH,18,36,5201,100,Concrete,1,0,35.9573,-96.7693,35.9430,-96.7691,180
KCUL,18,36,4000,75,Asphalt,1,0,38.0950,-88.1230,38.0840,-88.1231,180
KCUT,08,26,5500,60,Asphalt,1,0,43.7323,-103.6300,43.7339,-103.6090,84
KCVB,16,34,5001,75,Asphalt,1,0,29.3605,-98.8538,29.3359,-98.8487,161
KCVG,09,27,12001,150,Permeable,1,0,39.0464,-84.6951,39.0463,-84.6528,90
KCVG,18C,36C,11000,150,Permeable,1,0,39.0647,-84.6686,39.0345,-84.6687,180
KCVG,18L,36R,10000,150,Concrete,1,0,39.0559,-84.6467,39.0284,-84.6468,180
KCVG,18R,36L,8000,150,Concrete,1,0,39.0709,-84.6837,39.0489,-84.6838,180
KCVH,06,24,3149,100,Asphalt,1,0,36.8897,-121.4130,36.8924,-121.4030,72
KCVH,13,31,6350,100,Asphalt,1,0,36.9013,-121.4180,36.8876,-121.4050,142
KCVK,04,22,5158,75,Asphalt,1,0,36.2595,-91.5684,36.2702,-91.5569,41
KCVN,04,22,7200,150,Asphalt,1,0,34.4206,-103.0860,34.4325,-103.0710,46
KCVN,08,26,2442,75,Gravel,0,0,34.4196,-103.0860,34.4196,-103.0770,90
KCVN,12,30,5697,100,Asphalt,1,0,34.4316,-103.0850,34.4214,-103.0710,131
KCVO,10,28,3100,75,Asphalt,1,0,44.5012,-123.2893,44.4983,-123.2791,112
KCVO,17,35,5900,150,Asphalt,1,0,44.5035,-123.2910,44.4874,-123.2940,187
KCVS,04,22,10003,150,Concrete,1,0,34.3767,-103.3320,34.3962,-103.3080,45
KCVS,13,31,8196,150,Permeable,1,0,34.3863,-103.3340,34.3703,-103.3150,135
KCVX,04,22,1280,200,Grass,0,0,45.3036,-85.2712,45.3061,-85.2676,46
KCVX,09,27,4549,75,Asphalt,1,0,45.3042,-85.2858,45.3053,-85.2682,85
KCWA,08,26,7723,150,Concrete,1,0,44.7799,-89.6755,44.7845,-89.6468,77
KCWA,17,35,6501,150,Concrete,1,0,44.7810,-89.6755,44.7635,-89.6712,170
KCWC,17,35,4450,75,Asphalt,1,0,33.8667,-98.4904,33.8545,-98.4904,180
KCWF,15,33,10702,200,Concrete,1,0,30.2239,-93.1505,30.1973,-93.1359,155
KCWI,03,21,5204,100,Asphalt,1,0,41.8263,-90.3330,41.8387,-90.3236,30
KCWI,14,32,4201,75,Asphalt,1,0,41.8332,-90.3342,41.8249,-90.3264,144
KCWV,09,27,5002,75,Asphalt,1,0,32.1949,-81.8776,32.1952,-81.8615,89
KCXE,18,36,3400,50,Asphalt,1,0,36.7930,-78.5021,36.7837,-78.5010,175
KCXL,08,26,4683,75,Asphalt,1,0,32.6676,-115.5250,32.6673,-115.5100,91
KCXO,01,19,5000,100,Asphalt,1,0,30.3456,-95.4195,30.3561,-95.4158,17
KCXO,14,32,7501,150,Asphalt,1,0,30.3593,-95.4178,30.3457,-95.4070,146
KCXP,09,27,6101,75,Asphalt,1,0,39.1945,-119.7440,39.1899,-119.7240,107
KCXU,08,26,5004,100,Asphalt,1,0,31.2119,-84.2431,31.2140,-84.2305,79
KCXW,04,22,6005,100,Concrete,1,0,,,,,
KCXY,08,26,5000,150,Asphalt,1,0,40.2156,-76.8585,40.2200,-76.8416,71
KCXY,12,30,3778,100,Asphalt,1,0,40.2187,-76.8595,40.2139,-76.8470,117
KCYO,01,19,4346,75,Asphalt,1,0,39.5100,-82.9826,39.5220,-82.9817,3
KCYS,09,27,9270,150,Concrete,1,0,41.1568,-104.8210,41.1544,-104.7880,95
KCYS,13,31,6690,150,Asphalt,1,0,41.1622,-104.8270,41.1492,-104.8100,135
KCYW,17,35,4197,75,Asphalt,1,0,39.3929,-97.1570,39.3814,-97.1574,181
KCZD,13,31,5000,75,Concrete,1,0,40.8733,-100.0090,40.8649,-99.9991,138
KCZD,18,36,3000,300,Gravel,0,0,40.8734,-100.0010,40.8653,-100.0030,190
KCZG,03,21,3900,75,Asphalt,1,0,42.0736,-76.0992,42.0834,-76.0934,24
KCZK,06,24,1800,30,Asphalt,0,0,,,,,
KCZL,17,35,6034,100,Asphalt,1,0,34.4635,-84.9413,34.4474,-84.9371,168
KCZT,13,31,5003,75,Asphalt,1,0,28.5270,-99.8292,28.5175,-99.8180,134
KDAA,14,32,5421,75,Asphalt,1,0,38.7204,-77.1883,38.7098,-77.1740,133
KDAB,07L,25R,10500,150,Asphalt,1,0,29.1726,-81.0778,29.1847,-81.0479,65
KDAB,07R,25L,3195,100,Asphalt,1,0,29.1760,-81.0568,29.1797,-81.0478,65
KDAB,16,34,6001,150,Asphalt,1,0,29.1909,-81.0563,29.1757,-81.0490,157
KDAF,18,36,2721,60,Asphalt,0,0,44.0371,-90.0852,44.0297,-90.0851,179
KDAG,04,22,5123,100,Asphalt,1,0,34.8520,-116.7930,34.8610,-116.7800,50
KDAG,08,26,6402,150,Asphalt,1,0,34.8515,-116.7980,34.8515,-116.7760,90
KDAL,13L,31R,7752,150,Concrete,1,0,32.8573,-96.8568,32.8420,-96.8391,136
KDAL,13R,31L,8800,150,Concrete,1,0,32.8513,-96.8635,32.8340,-96.8434,136
KDAL,18,36,6147,150,Asphalt,0,1,32.8587,-96.8532,32.8418,-96.8551,186
KDAN,02,20,5900,100,Asphalt,1,0,36.5629,-79.3415,36.5801,-79.3353,16
KDAN,13,31,3910,100,Asphalt,1,0,36.5782,-79.3381,36.5719,-79.3268,125
KDAW,15,33,4201,75,Asphalt,1,0,43.2877,-70.9349,43.2805,-70.9236,132
KDAY,06L,24R,10901,150,Permeable,1,0,39.8951,-84.2460,39.9121,-84.2141,55
KDAY,06R,24L,7285,150,Permeable,1,0,39.8910,-84.2224,39.9019,-84.2019,55
KDAY,18,36,8502,150,Permeable,1,0,39.9173,-84.2121,39.8940,-84.2113,179
KDBN,02,20,6501,150,Asphalt,1,0,32.5573,-82.9849,32.5731,-82.9794,16
KDBN,14,32,5171,100,Asphalt,0,0,32.5684,-82.9946,32.5585,-82.9834,136
KDBQ,13,31,6502,100,Concrete,1,0,42.4093,-90.7155,42.3967,-90.6985,135
KDBQ,18,36,6327,150,Concrete,1,0,42.4096,-90.7120,42.3923,-90.7120,180
KDCA,01,19,7169,150,Asphalt,1,0,38.8424,-77.0368,38.8612,-77.0387,356
KDCA,04,22,5000,150,Asphalt,1,0,38.8423,-77.0408,38.8544,-77.0333,26
KDCA,15,33,5204,150,Asphalt,1,0,38.8617,-77.0438,38.8503,-77.0327,143
KDCM,05,23,4998,100,Asphalt,0,0,34.7844,-81.1997,34.7924,-81.1861,55
KDCM,11,29,4982,100,Asphalt,0,1,,,,,107
KDCM,17,35,5000,100,Asphalt,1,0,34.7970,-81.2004,34.7835,-81.1969,168
KDCU,18,36,6107,100,Asphalt,1,0,34.6624,-86.9452,34.6457,-86.9452,180
KDCY,18,36,5002,75,Asphalt,1,0,38.7068,-87.1297,38.6941,-87.1297,180
KDDC,02,20,4649,100,Asphalt,1,0,37.7554,-99.9678,37.7662,-99.9591,32
KDDC,14,32,6899,100,Asphalt,1,0,37.7732,-99.9720,37.7562,-99.9615,154
KDDH,13,31,3704,75,Asphalt,1,0,42.8937,-73.2525,42.8889,-73.2403,119
KDEC,06,24,8496,150,Permeable,1,0,39.8271,-88.8745,39.8391,-88.8486,59
KDEC,12,30,6799,150,Permeable,1,0,39.8413,-88.8748,39.8322,-88.8536,119
KDEC,18,36,5298,150,Asphalt,1,0,39.8415,-88.8744,39.8269,-88.8741,179
KDED,05,23,4301,75,Asphalt,1,0,29.0609,-81.2881,29.0687,-81.2780,49
KDED,08,26,3600,200,Asphalt,0,1,29.0661,-81.2906,29.0672,-81.2794,83
KDED,12,30,6001,100,Asphalt,1,0,29.0724,-81.2926,29.0649,-81.2759,117
KDED,18,36,5999,200,Asphalt,0,1,29.0767,-81.2869,29.0602,-81.2869,180
KDEH,11,29,4001,75,Concrete,1,0,43.2778,-91.7462,43.2732,-91.7325,115
KDEN,07,25,12000,150,Concrete,1,0,39.8409,-104.7270,39.8407,-104.6840,91
KDEN,08,26,12000,150,Concrete,1,0,39.8776,-104.6620,39.8772,-104.6190,91
KDEN,16L,34R,12000,150,Concrete,1,0,39.8970,-104.6870,39.8641,-104.6870,181
KDEN,16R,34L,16000,200,Concrete,1,0,39.8958,-104.6960,39.8519,-104.6970,181
KDEN,17L,35R,12000,150,Concrete,1,0,39.8650,-104.6410,39.8320,-104.6420,181
KDEN,17R,35L,12000,150,Concrete,1,0,39.8612,-104.6600,39.8283,-104.6610,181
KDEQ,08,26,5001,75,Asphalt,1,0,34.0462,-94.4076,34.0478,-94.3912,83
KDET,07,25,4025,100,Asphalt,1,1,42.4029,-83.0157,42.4070,-83.0024,68
KDET,15,33,5092,100,Asphalt,1,0,42.4180,-83.0162,42.4068,-83.0050,143
KDEW,04,22,3200,60,Asphalt,0,0,47.9621,-117.4290,47.9664,-117.4180,61
KDEW,16,34,6101,75,Asphalt,1,0,47.9769,-117.4310,47.9602,-117.4310,180
KDFI,12,30,4199,72,Asphalt,1,0,41.3399,-84.4357,41.3351,-84.4219,115
KDFW,13L,31R,9000,200,Concrete,1,0,32.9126,-97.0215,32.8950,-97.0008,135
KDFW,13R,31L,9300,150,Concrete,1,0,32.9096,-97.0831,32.8903,-97.0633,139
KDFW,17C,35C,13400,150,Concrete,1,0,32.9157,-97.0260,32.8789,-97.0262,180
KDFW,17L,35R,8500,150,Concrete,1,0,32.8983,-97.0098,32.8750,-97.0099,180
KDFW,17R,35L,13400,200,Concrete,1,0,32.9157,-97.0299,32.8789,-97.0301,180
KDFW,18L,36R,13401,200,Concrete,1,0,32.9158,-97.0507,32.8790,-97.0509,180
KDFW,18R,36L,13400,150,Concrete,1,0,32.9158,-97.0546,32.8790,-97.0548,180
KDGL,03,21,5760,75,Asphalt,1,0,31.3349,-109.5090,31.3478,-109.4980,36
KDGL,18,36,4095,100,Gravel,0,0,31.3469,-109.5060,31.3358,-109.5080,191
KDGW,05,23,4760,75,Asphalt,1,0,42.7981,-105.3990,42.8032,-105.3820,67
KDGW,11,29,6534,100,Asphalt,1,0,42.7988,-105.3930,42.7904,-105.3720,118
KDHN,14,32,8500,150,Asphalt,1,0,31.3306,-85.4616,31.3141,-85.4424,135
KDHN,18,36,5501,102,Asphalt,1,0,31.3265,-85.4456,31.3128,-85.4456,180
KDHT,03,21,5440,75,Asphalt,1,0,36.0173,-102.5550,36.0284,-102.5420,45
KDHT,17,35,6400,75,Asphalt,1,0,36.0311,-102.5460,36.0135,-102.5460,180
KDIJ,04,22,7301,100,Asphalt,1,0,43.7358,-111.1080,43.7491,-111.0870,48
KDIK,07,25,4700,75,Asphalt,1,0,46.7962,-102.8120,46.7985,-102.7930,80
KDIK,14,32,7301,150,Asphalt,1,0,46.8049,-102.8080,46.7897,-102.7950,150
KDKB,02,20,7026,100,Asphalt,1,0,41.9271,-88.7070,41.9458,-88.6982,20
KDKB,09,27,4201,75,Asphalt,1,0,41.9290,-88.7188,41.9290,-88.7033,90
KDKK,06,24,6000,100,Asphalt,1,0,42.4901,-79.2773,42.4989,-79.2631,50
KDKK,15,33,4000,100,Asphalt,1,0,42.4976,-79.2770,42.4893,-79.2673,139
KDKR,02,20,4000,75,Asphalt,1,0,31.3018,-95.4062,31.3121,-95.4015,21
KDKX,08,26,3499,75,Asphalt,1,0,35.9626,-83.8794,35.9651,-83.8680,75
KDLC,07,25,3000,60,Asphalt,1,0,34.4472,-79.3731,34.4509,-79.3641,64
KDLF,13C,31C,8852,150,Permeable,1,0,29.3675,-100.7880,29.3501,-100.7680,135
KDLF,13L,31R,8316,150,Permeable,1,0,29.3682,-100.7840,29.3519,-100.7660,135
KDLF,13R,31L,6571,150,Asphalt,1,0,29.3658,-100.7880,29.3536,-100.7750,135
KDLH,03,21,5719,150,Asphalt,1,0,46.8358,-92.1882,46.8491,-92.1763,32
KDLH,09,27,10591,150,Concrete,1,0,46.8425,-92.2203,46.8414,-92.1798,92
KDLL,01,19,5010,100,Asphalt,1,0,43.5162,-89.7716,43.5292,-89.7689,9
KDLL,14,32,2725,100,Grass,0,0,43.5233,-89.7757,43.5180,-89.7685,135
KDLN,04,22,3600,60,Asphalt,1,0,45.2488,-112.5580,45.2552,-112.5480,50
KDLN,17,35,6501,75,Asphalt,1,0,45.2661,-112.5520,45.2483,-112.5520,179
KDLO,15,33,5659,75,Asphalt,1,0,35.7528,-119.2400,35.7384,-119.2330,159
KDLS,07,25,4647,100,Asphalt,0,0,45.6208,-121.1780,45.6213,-121.1600,88
KDLS,13,31,5097,100,Asphalt,1,0,45.6235,-121.1730,45.6121,-121.1620,145
KDLZ,10,28,5800,100,Asphalt,1,0,40.2807,-83.1237,40.2787,-83.1059,98
KDMA,12,30,13643,200,Permeable,1,0,32.1803,-110.8980,32.1526,-110.8680,138
KDMN,04,22,5675,60,Asphalt,1,0,32.2566,-107.7310,32.2663,-107.7170,52
KDMN,08,26,8018,75,Asphalt,1,0,32.2630,-107.7280,32.2631,-107.7070,90
KDMO,05,23,3519,50,Asphalt,0,0,38.7017,-93.1860,38.7073,-93.1760,54
KDMO,18,36,5500,100,Concrete,1,0,38.7155,-93.1724,38.7004,-93.1730,182
KDMW,16,34,5100,100,Asphalt,1,0,39.6142,-77.0125,39.6023,-77.0029,148
KDNL,05,23,4002,100,Asphalt,1,0,33.4608,-82.0436,33.4686,-82.0343,45
KDNL,11,29,3733,100,Asphalt,1,0,33.4697,-82.0458,33.4672,-82.0339,104
KDNN,14,32,5496,100,Asphalt,1,0,34.7285,-84.8765,34.7174,-84.8640,137
KDNS,06,24,1780,175,Grass,0,1,41.9864,-95.3872,41.9889,-95.3808,62
KDNS,12,30,5000,75,Concrete,1,0,41.9896,-95.3871,41.9819,-95.3719,124
KDNS,18,36,3200,60,Grass,0,0,41.9900,-95.3808,41.9842,-95.3807,179
KDNV,03,21,6006,100,Asphalt,1,0,40.1938,-87.5996,40.2082,-87.5891,29
KDNV,12,30,2500,150,Grass,0,1,40.2022,-87.5981,40.1987,-87.5903,120
KDNV,16,34,3999,100,Asphalt,1,0,40.2031,-87.5992,40.1925,-87.5953,164
KDOV,01,19,9602,150,Permeable,1,0,39.1172,-75.4646,39.1435,-75.4627,3
KDOV,14,32,12903,150,Permeable,1,0,39.1393,-75.4861,39.1186,-75.4492,126
KDPA,02L,20R,7571,150,Concrete,1,0,41.8940,-88.2535,41.9142,-88.2468,14
KDPA,02R,20L,6451,100,Concrete,1,0,41.8934,-88.2499,41.9105,-88.2442,14
KDPA,10,28,4750,75,Asphalt,1,0,41.9135,-88.2585,41.9121,-88.2411,96
KDPA,15,33,3399,100,Asphalt,1,0,41.9192,-88.2457,41.9114,-88.2390,148
KDPG,12,30,10999,150,Asphalt,1,0,40.1997,-112.9390,40.1861,-112.9220,135
KDPG,12L,30R,13125,200,Asphalt,0,1,40.2121,-112.9540,40.1867,-112.9210,135
KDPL,05,23,6003,100,Asphalt,1,0,34.9934,-77.9876,35.0067,-77.9758,36
KDQH,04,22,6000,100,Asphalt,1,0,31.4701,-82.8663,31.4833,-82.8547,37
KDRA,02,20,7515,100,Asphalt,1,0,36.6112,-116.0390,36.6282,-116.0250,34
KDRI,04,22,4500,150,Asphalt,0,1,30.8289,-93.3450,30.8375,-93.3347,46
KDRI,09,27,4501,150,Asphalt,0,1,30.8381,-93.3475,30.8381,-93.3333,90
KDRI,14,32,4218,60,Asphalt,0,0,30.8375,-93.3476,30.8293,-93.3380,135
KDRI,18,36,5494,100,Permeable,1,0,30.8380,-93.3378,30.8229,-93.3376,179
KDRM,01,19,2500,150,Grass,0,0,46.0069,-83.7397,46.0139,-83.7411,358
KDRM,08,26,4000,75,Asphalt,1,0,46.0070,-83.7539,46.0103,-83.7389,72
KDRO,03,21,9201,150,Asphalt,0,0,37.1415,-107.7630,37.1616,-107.7440,37
KDRT,13,31,6300,100,Asphalt,1,0,29.3809,-100.9330,29.3675,-100.9210,140
KDSM,13,31,9001,150,Asphalt,1,0,41.5456,-93.6745,41.5290,-93.6502,132
KDSM,5,23,9004,150,Concrete-Grooved,1,0,41.5234,-93.6771,41.5379,-93.6506,54
KDSV,14,32,3500,100,Asphalt,1,0,42.5734,-77.7182,42.5677,-77.7084,128
KDSV,18,36,2443,100,Asphalt,1,1,42.5742,-77.7134,42.5676,-77.7117,169
KDTA,12,30,5935,85,Asphalt,0,0,39.3834,-112.5210,39.3724,-112.5050,132
KDTA,17,35,6065,75,Asphalt,1,0,39.3912,-112.5020,39.3760,-112.5020,180
KDTL,14,32,5201,100,Asphalt,1,0,46.8296,-95.8896,46.8201,-95.8781,140
KDTL,17,35,1880,250,Grass,0,0,46.8285,-95.8898,46.8234,-95.8898,180
KDTN,05,23,4198,75,Asphalt,1,0,32.5370,-93.7490,32.5420,-93.7404,55
KDTN,14,32,5016,150,Asphalt,1,0,32.5460,-93.7504,32.5353,-93.7400,140
KDTO,18L,36R,7002,150,Asphalt,1,0,33.2090,-97.1978,33.1925,-97.1982,181
KDTO,18R,36L,5003,75,Asphalt,0,0,,,,,
KDTS,14,32,5001,100,Asphalt,1,0,30.4055,-86.4763,30.3946,-86.4666,142
KDTW,03L,21R,8501,150,Permeable,1,0,42.2078,-83.3512,42.2283,-83.3361,29
KDTW,03R,21L,10001,150,Concrete,1,0,42.1956,-83.3518,42.2197,-83.3341,29
KDTW,04L,22R,10000,150,Concrete,1,0,42.2022,-83.3840,42.2262,-83.3663,29
KDTW,04R,22L,12003,200,Concrete,1,0,42.2023,-83.3713,42.2312,-83.3500,29
KDTW,09L,27R,8708,150,Permeable,1,0,42.2170,-83.3632,42.2175,-83.3310,89
KDTW,09R,27L,8500,150,Concrete,1,0,42.1990,-83.3617,42.1995,-83.3304,89
KDUA,04,22,3900,150,,0,1,33.9380,-96.3996,33.9452,-96.3900,48
KDUA,12,30,3000,75,Asphalt,0,1,33.9452,-96.3973,33.9396,-96.3901,133
KDUA,17,35,6800,100,Asphalt,1,0,33.9490,-96.3950,33.9304,-96.3951,180
KDUC,17,35,6650,100,Concrete,1,0,34.4800,-97.9600,34.4617,-97.9597,180
KDUG,03,21,7158,150,Asphalt,0,1,31.4644,-109.6090,31.4783,-109.5930,45
KDUG,08,26,4966,60,Asphalt,1,0,31.4741,-109.6110,31.4740,-109.5950,90
KDUG,12,30,7503,150,Asphalt,0,1,31.4689,-109.6140,31.4542,-109.5970,136
KDUG,17,35,6430,100,Asphalt,1,0,31.4743,-109.6040,31.4542,-109.6040,180
KDUH,09,27,4807,50,Asphalt,1,0,41.7355,-83.6646,41.7363,-83.6462,87
KDUJ,07,25,5503,100,Asphalt,1,0,41.1748,-78.9076,41.1818,-78.8898,62
KDUX,01,19,6001,100,Asphalt,1,0,35.8501,-102.0170,35.8640,-102.0100,23
KDUX,14,32,3100,60,Asphalt,1,0,35.8632,-102.0150,35.8557,-102.0100,152
KDVK,01,19,1956,75,Asphalt,0,0,37.5782,-84.7745,37.5846,-84.7734,8
KDVK,13,31,5000,75,Asphalt,1,0,37.5798,-84.7751,37.5727,-84.7604,122
KDVL,03,21,4314,75,Asphalt,1,0,48.1096,-98.9167,48.1180,-98.9043,45
KDVL,13,31,6400,100,Asphalt,1,0,48.1204,-98.9148,48.1092,-98.8997,138
KDVN,03,21,4001,100,Concrete,1,0,41.6075,-90.5920,41.6170,-90.5847,30
KDVN,15,33,5511,100,Concrete,1,0,41.6154,-90.5934,41.6023,-90.5832,150
KDVO,13,31,3303,75,Asphalt,1,0,38.1475,-122.5590,38.1397,-122.5530,148
KDVP,17,35,3005,60,Asphalt,1,0,43.9903,-95.7819,43.9827,-95.7825,183
KDVT,07L,25R,4500,75,Asphalt,1,0,33.6892,-112.0890,33.6900,-112.0750,86
KDVT,07R,25L,8196,100,Asphalt,1,0,33.6868,-112.0960,33.6884,-112.0690,86
KDWA,16,34,6000,100,Asphalt,1,0,38.5872,-121.8570,38.5708,-121.8570,180
KDWH,17L,35R,3500,35,Asphalt,0,0,30.0639,-95.5524,30.0530,-95.5508,173
KDWH,17R,35L,7009,100,Asphalt,1,0,30.0733,-95.5548,30.0542,-95.5520,173
KDWH,17W,35W,2530,100,Water,0,0,,,,,
KDWU,10,28,5402,100,Asphalt,1,0,38.5556,-82.7477,38.5534,-82.7283,94
KDXE,18,36,5000,100,Asphalt,1,0,36.7837,-89.9409,36.7713,-89.9414,182
KDXR,08,26,4421,150,Asphalt,1,0,41.3687,-73.4908,41.3729,-73.4756,70
KDXR,17,35,3135,100,Asphalt,0,0,41.3764,-73.4833,41.3687,-73.4782,153
KDXX,09,27,3003,135,Grass,0,0,44.9859,-96.1823,44.9859,-96.1706,90
KDXX,14,32,3300,75,Asphalt,1,0,44.9900,-96.1831,44.9830,-96.1749,140
KDYA,04,22,5002,100,Asphalt,1,0,32.4588,-87.9596,32.4689,-87.9486,43
KDYB,06,24,5000,75,Asphalt,1,0,33.0601,-80.2839,33.0668,-80.2748,49
KDYL,05,23,3004,60,Asphalt,1,0,40.3298,-75.1256,40.3366,-75.1191,36
KDYR,04,22,5698,98,Asphalt,1,0,35.9904,-89.4139,36.0023,-89.4014,41
KDYR,16,34,4001,74,Asphalt,1,0,36.0055,-89.4072,35.9950,-89.4030,162
KDYS,16,34,13500,300,Permeable,1,0,32.4390,-99.8588,32.4026,-99.8504,169
KDYS,161,341,3500,60,Gravel,0,0,32.4214,-99.8595,32.4118,-99.8573,161
KDYS,162,342,3500,60,Asphalt,0,0,,,,,
KDYT,09W,27W,5000,1500,Water,0,0,,,,,
KDYT,13W,31W,10000,2000,Water,0,0,,,,,
KDYT,14,32,2602,75,Asphalt,1,0,46.7250,-92.0475,46.7187,-92.0394,138
KDZB,17,35,5977,100,Asphalt,1,0,30.5353,-98.3586,30.5188,-98.3589,181
KDZJ,08,26,5004,100,Asphalt,1,0,34.8535,-84.0029,34.8567,-83.9908,72
KEAG,01,19,2389,120,Grass,0,0,42.7062,-93.9169,42.7125,-93.9141,18
KEAG,13,31,3500,60,Concrete,1,0,42.7136,-93.9211,42.7066,-93.9121,136
KEAN,08,26,5900,75,Asphalt,1,0,42.0554,-104.9390,42.0556,-104.9180,89
KEAR,13,31,4498,75,Concrete,1,0,40.7323,-99.0087,40.7227,-98.9986,141
KEAR,18,36,7094,100,Asphalt,1,0,40.7364,-99.0071,40.7171,-99.0104,187
KEAT,07,25,4460,150,Asphalt,0,1,47.3986,-120.2150,47.3986,-120.1970,90
KEAT,12,30,7000,150,Asphalt,1,0,47.4032,-120.2140,47.3922,-120.1970,135
KEAU,04,22,8101,150,Concrete,1,0,44.8593,-91.4927,44.8750,-91.4706,45
KEAU,14,32,5000,100,Concrete,1,0,44.8688,-91.4948,44.8585,-91.4821,139
KEBG,13,31,3200,150,Asphalt,0,1,26.4458,-98.1358,26.4389,-98.1303,145
KEBG,14,32,5000,75,Asphalt,1,0,26.4472,-98.1267,26.4361,-98.1177,144
KEBS,05,23,2663,90,Grass,0,0,42.4350,-93.8722,42.4400,-93.8648,48
KEBS,14,32,3851,75,Concrete,1,0,42.4405,-93.8733,42.4316,-93.8645,144
KECG,01,19,4518,150,Permeable,1,1,36.2538,-76.1791,36.2662,-76.1784,3
KECG,10,28,7219,150,Concrete,1,0,36.2613,-76.1842,36.2605,-76.1597,92
KECP,16,34,10000,150,Concrete,1,0,,,,,
KECS,05,23,2220,50,Grass,0,1,43.8844,-104.3250,43.8875,-104.3180,60
KECS,14,32,5310,75,Asphalt,1,0,43.8912,-104.3220,43.8795,-104.3100,144
KECS,17,35,2666,40,Grass,0,1,43.8889,-104.3190,43.8816,-104.3190,180
KECU,14,32,4050,50,Asphalt,1,0,29.9515,-100.1780,29.9423,-100.1700,145
KEDC,13,31,6025,100,Asphalt,1,0,30.4036,-97.5735,30.3926,-97.5591,131
KEDC,16,34,1550,25,Asphalt,0,0,30.3971,-97.5674,30.3930,-97.5662,166
KEDE,01,19,6001,100,Asphalt,1,0,36.0204,-76.5698,36.0368,-76.5698,360
KEDE,05,23,3757,100,Asphalt,0,1,36.0227,-76.5673,36.0300,-76.5583,45
KEDG,01,19,1704,85,Asphalt,1,0,39.3853,-76.2904,39.3979,-76.2917,355
KEDJ,07,25,5000,100,Asphalt,1,0,40.3699,-83.8274,40.3747,-83.8106,69
KEDN,05,23,5080,100,Asphalt,1,0,31.2954,-85.9063,31.3040,-85.8934,52
KEDU,17,35,3176,60,Asphalt,0,0,38.5358,-121.7860,38.5271,-121.7870,180
KEDW,05L,23R,12000,200,Asphalt,0,0,34.9027,-117.9048,34.9201,-117.8708,
KEDW,05R,23L,16798,300,Concrete,1,0,34.8946,-117.9050,34.9189,-117.8574,58
KEDW,07,25,8000,50,Concrete,0,0,34.8947,-117.8820,34.8995,-117.8560,77
KEED,02,20,4235,100,Asphalt,1,0,34.7644,-114.6230,34.7745,-114.6160,29
KEED,11,29,5005,100,Asphalt,1,0,34.7671,-114.6340,34.7604,-114.6190,119
KEEN,02,20,6201,100,Asphalt,1,0,42.8873,-72.2709,42.9043,-72.2696,3
KEEN,14,32,4001,150,Asphalt,1,0,42.9057,-72.2776,42.8991,-72.2657,127
KEEO,03,21,6503,100,Asphalt,1,0,40.0419,-107.8930,40.0557,-107.8790,40
KEET,16,34,5000,75,Asphalt,0,0,33.1841,-86.7864,33.1714,-86.7801,157
KEFC,14,32,4501,60,Asphalt,1,0,44.7397,-103.8660,44.7287,-103.8580,152
KEFC,18,36,3639,120,Grass,0,0,44.7397,-103.8600,44.7300,-103.8630,193
KEFD,04,22,8001,150,Concrete,1,1,29.5982,-95.1630,29.6140,-95.1455,44
KEFD,17L,35R,4609,80,Concrete,0,0,29.6185,-95.1562,29.6058,-95.1559,179
KEFD,17R,35L,9001,150,Concrete,1,0,29.6183,-95.1644,29.5936,-95.1638,179
KEFK,05,23,3996,100,Asphalt,0,0,44.8847,-72.2349,44.8943,-72.2273,29
KEFK,18,36,5301,100,Asphalt,1,0,44.8932,-72.2300,44.8830,-72.2246,160
KEFT,02,20,3000,75,Asphalt,1,0,42.6103,-89.5955,42.6180,-89.5913,22
KEFT,12,30,5000,75,Asphalt,1,0,42.6188,-89.5968,42.6116,-89.5810,122
KEFW,14,32,4100,75,Concrete,1,0,42.0138,-94.3469,42.0068,-94.3398,143
KEFW,18,36,1696,150,Grass,0,0,42.0127,-94.3399,42.0080,-94.3411,191
KEGE,07,25,9000,150,Asphalt,1,0,39.6410,-106.9320,39.6441,-106.9040,82
