ident,type,description,mhz
CYFE,ATF,ATF,123.200
CYFJ,ATF,ATF/UNICOM,122.700
CYFJ,PAL,Montreal Center,133.900
CYFO,A/G,WINNIPEG RDO MF,122.000
CYFO,RCO,WINNIPEG RDO,122.000
CYFR,ATF,MANDATORY FREQ,122.100
CYFR,RDO,ARPT RDO,122.100
CYFS,CNTR,EDMONTON CNTR,135.400
CYFS,MF,FT SIMPSON RDO,122.200
CYFS,RCO,YELLOWKNIFE RDO,126.700
CYGB,ATF,ATF,122.700
CYGD,CNTR,TORONTO CNTR,135.300
CYGD,UNIC,ATF/UNICOM,122.700
CYGE,RCO,PACIFIC RDO,126.700
CYGE,UNIC,ATF/UNICOM,122.800
CYGH,ATF,MANDATORY FREQ,122.100
CYGH,FSS,NORMAN WELLS RDO,126.700
CYGH,RDO,AIRPORT RDO,122.100
CYGK,ATF,Kingston Traffic,122.500
CYGK,MF,"Kingston Radio, 0615-2300 local",122.500
CYGK,RADIO,Kingston Radio,122.500
CYGK,RCO,London Radio,123.550
CYGK,VDF,Kingston Radio,122.500
CYGL,A/G,MF,122.300
CYGL,CNTR,MONTREAL CNTR,132.100
CYGL,RCO,QUEBEC RDO,126.700
CYGL,RDO,RDO,122.300
CYGM,A/G,MF,122.150
CYGM,UNIC,UNICOM,122.150
CYGP,RCO,QUEBEC RDO,122.300
CYGP,RDO,MF QUEBEC RDO,122.300
CYGQ,RCO,LONDON RADIO,123.475
CYGQ,UNIC,ATF/UNICOM,122.800
CYGR,CNTR,MONCTON CNTR,134.350
CYGR,FSS,MADELEINE RDO,123.150
CYGR,RCO,QUEBEC RDO,126.700
CYGR,RDO,MF,123.150
CYGV,AWOS,AWOS,125.950
CYGV,RCO,QUEBEC RDO,122.000
CYGV,RDO,MF,122.000
CYHB,ATF,ATF,122.800
CYHD,A/G,MIN NATL RESOURCES,122.900
CYHD,CNTR,WINNIPEG CNTR,132.200
CYHD,RCO,WINNIPEG RDO,122.100
CYHD,RDO,MF,122.100
CYHE,MF,,123.300
CYHF,UNIC,ATF/UNICOM,122.800
CYHI,ATF,MANDATORY FREQ,122.100
CYHI,RDO,ARPT RDO,122.100
CYHK,ATF,MANDATORY FREQ,122.100
CYHK,RDO,ARPT RDO,122.100
CYHM,A/D,TORONTO TRML,119.700
CYHM,ATIS,ATIS,128.100
CYHM,GND,GND,121.600
CYHM,TWR,TWR,125.000
CYHN,UNIC,ATF/UNICOM,122.800
CYHR,ATF,ATF,123.500
CYHR,AWOS,AWOS,122.550
CYHS,UNIC,ATF/UNICOM,122.800
CYHU,A/G,MF,118.400
CYHU,ATIS,ATIS,124.900
CYHU,CNTR,MONTREAL CNTR,125.150
CYHU,GND,GND,126.400
CYHU,INFO,VFR ADVSY,134.150
CYHU,RDO,QUEBEC RDO,118.400
CYHU,TWR,TWR,118.400
CYHY,A/D,YELLOWKNIFE RDO,126.700
CYHY,CNTR,EDMONTON CNTR,133.850
CYHY,UNIC,MANDATORY FREQ,122.300
CYHZ,A/D,TRML,118.700
CYHZ,ATIS,ATIS,121.000
CYHZ,CLD,CLNC DEL,123.950
CYHZ,CNTR,MONCTON CNTR,118.700
CYHZ,GND,GND,121.900
CYHZ,RDO,RDO,123.275
CYHZ,RMP,APN ADVSY,122.125
CYHZ,TWR,TWR,118.400
CYIB,A/G,MF,122.300
CYIB,ATF,ATF,122.300
CYIB,RCO,WINNIPEG RDO,123.275
CYID,UNIC,ATF/UNICOM,122.800
CYIF,RCO,QUEBEC RDO,126.700
CYIF,UNIC,ATF/UNICOM,123.500
CYIK,A/G,ARPT RDO,122.100
CYIK,ATF,MF/CTAF,122.100
CYIO,AWOS,AWOS,128.300
CYIO,RDO,RDO,122.100
CYJM,ATF,ATF,123.200
CYJN,A/D,MONTREAL APP DEP,125.150
CYJN,A/G,VFR ADVSY,134.150
CYJN,ATF,ATF,118.200
CYJN,GND,GND,121.700
CYJN,TWR,TWR,118.200
CYJT,CNTR,GANDER CNTR,132.300
CYJT,RCO,HALIFAX RDO,126.700
CYJT,RDO,MF,122.100
CYKA,CLNC DEL,Light hrs,121.900
CYKA,MF,"Kamloops Radio, 5nm below 4100ASL",125.700
CYKA,PAL,Vancouver Control,132.350
CYKA,PVT ADV,Shell Aerocenter,123.000
CYKA,RCO,Pacific Radio (FISE),123.375
CYKA,VDF,,125.700
CYKD,ATF,ATF,122.100
CYKD,RDO,ARPT RDO,122.100
CYKF,ARR,Toronto Terminal,128.275
CYKF,ATIS,ATIS,125.100
CYKF,DEP,Toronto Terminal,128.275
CYKF,GND,Waterloo Ground,121.800
CYKF,MF,"Waterloo Traffic, 5nm below 4000 ASL, 04Z to 12Z",126.000
CYKF,PAL,Toronto Control,128.275
CYKF,TWR,"Waterloo Tower, secondary",118.550
CYKF,TWR,"Waterloo Tower, primary",126.000
CYKL,A/G,MF,122.200
CYKL,AWOS,AWOS,124.600
CYKL,CNTR,MONTREAL CNTR,132.900
CYKL,FSS,QUEBEC RDO,126.700
CYKL,RCO,QUEBEC RDO,126.700
CYKM,UNIC,ATF/UNICOM,122.800
CYKO,ATF,MF/CTAF,122.100
CYKO,INFO,ARPT RDO,122.100
CYKO,RDO,QUEBEC RDO,126.700
CYKX,ATF,ATF,122.800
CYKY,ATF,ATF,122.800
CYLB,ATF,ATF,123.200
CYLB,CNTR,EDMONTON CNTR,134.700
CYLB,RCO,EDMONTON RDO,126.700
CYLD,UNIC,ATF/UNICOM,122.800
CYLI,ATF,ATF,123.200
CYLJ,A/D,COLD LAKE TRML,124.500
CYLJ,ATF,ATF,122.800
CYLL,A/G,MF LLOYDMINSTER RDO,122.200
CYLL,CNTR,EDMONTON CNTR,133.450
CYLL,RCO,EDMONTON RDO,126.700
CYLL,RDO,RDO,122.200
CYLQ,CNTR,MONTREAL CNTR,134.500
CYLQ,UNIC,ATF/UNICOM,122.800
CYLR,ATF,ATF,123.200
CYLS,AWOS,AWOS,122.975
CYLS,CNTR,TORONTO CNTR,124.025
CYLS,UNIC,ATF/UNICOM,122.700
CYLT,OPS,OPS,568.000
CYLW,A/G,PACIFIC RDO,126.700
CYLW,ATIS,ATIS,127.500
CYLW,EMR,EMR,122.675
CYLW,GND,GND,121.700
CYLW,RCO,PENTICTON RDO,119.600
CYLW,TWR,TWR,119.600
CYLW,VDF,,119.600
CYMA,CNTR,EDMONTON CNTR,134.650
CYMA,RCO,WHITEHORSE RDO,126.700
CYMA,RDO,ARPT RDO,122.100
CYME,CNTR,MONTREAL CNTR,134.650
CYME,UNIC,ATF/UNICOM,122.800
CYMG,A/D,LONDON RDO,126.700
CYMG,UNIC,ATF/UNICOM,122.800
CYMJ,ARR,ARR,119.000
CYMJ,ARR,ARR,28.940
CYMJ,ARR,ARR,38.130
CYMJ,ATIS,ATIS,25.780
CYMJ,CLD,CLNC DEL,135.300
CYMJ,DEP,DEP,119.000
CYMJ,GND,GND,121.800
CYMJ,OPS,WING OPS,23.010
CYMJ,PMSV,PMSV,34.460
CYMJ,TWR,TWR,126.200
CYML,CNTR,MONTREAL CNTR,125.100
CYML,UNIC,ATF/UNICOM,123.000
CYMM,ATIS,ATIS,128.500
CYMM,CNTR,EDMONTON CNTR,135.700
CYMM,GND,Fort McMurray Ground,121.900
CYMM,MF,Peace River Radio,118.100
CYMM,RCO,EDMONTON RDO,123.550
CYMM,TWR,Fort McMurray Tower,118.100
CYMO,A/G,MF,122.500
CYMO,ATF,ATF,122.500
CYMO,AWOS,AWOS,124.800
CYMO,CNTR,TORONTO CNTR,133.725
CYMO,RCO,TIMMINS RDO,122.500
CYMT,CNTR,MONTREAL CNTR,127.300
CYMT,RCO,QUEBEC RDO,122.000
CYMW,CNTR,MONTREAL CNTR,126.570
CYMW,UNIC,ATF/UNICOM,122.800
CYMX,ARR,Montreal Arrival,124.650
CYMX,ARR,Montreal Arrival,132.850
CYMX,ARR,Montreal Arrival,268.300
CYMX,ATIS,ATIS (English) 450-476-3031,125.700
CYMX,ATIS,ATIS (French) 450-476-3095,126.100
CYMX,DEP,Montreal Departure,132.850
CYMX,MF,Mirabel Radio,119.100
CYMX,RDR,VFR ADVSY,134.150
CYMX,RMP,APRON ADVSY,122.400
CYMY,UNIC,ATF/UNICOM,122.800
CYNA,AWOS,AWOS,126.250
CYNA,RCO,QUEBEC RDO,122.200
CYNA,RDO,MF QUEBEC RDO,122.200
CYND,ARR,Ottawa Arrivals,128.175
CYND,ATF,Gatineau Traffic,122.300
CYND,DEP,Ottawa Departures,128.175
CYND,MF,"Gatineau Radio, 0630-2115 local",122.300
CYND,RCO,Quebec Radio,123.375
CYND,TML,Ottawa Terminal,127.700
CYNH,ATF,ATF,123.200
CYNJ,ATIS,,124.500
CYNJ,GND,Langley Ground,121.900
CYNJ,TWR,Langley Tower,119.000
CYNM,AWOS,AWOS,127.450
CYNM,RCO,QUEBEC RDO,123.550
CYNM,UNIC,ATF/UNICOM,122.800
CYOA,CTAF,,122.700
CYOA,PAL,Edmonton Center,135.175
CYOA,RCO,Arctic Radio (FISE),123.275
CYOC,ATF,MANDATORY FREQ,122.100
CYOC,RDO,ARPT RDO,122.100
CYOD,A/G,TRAN SVCG,30.870
CYOD,APP,APP,124.500
CYOD,ARR,ARR,124.500
CYOD,ATIS,ATIS,26.000
CYOD,CLD,CLNC DEL,120.600
CYOD,DEP,DEP,124.500
CYOD,GND,GND,121.900
CYOD,OPS,WING OPS,34.020
CYOD,PMSV,PMSV,34.460
CYOD,TWR,TWR,126.200
CYOJ,A/G,MF HIGH LEVEL RDO,123.250
CYOJ,CNTR,EDMONTON CNTR,123.700
CYOJ,FSS,RDO,123.250
CYOJ,RCO,EDMONTON RDO,126.700
CYOO,A/G,MF,120.100
CYOO,APP,TORONTO TRML,133.400
CYOO,ATIS,ATIS,125.675
CYOO,GND,GND,118.400
CYOO,TWR,TWR,120.100
CYOP,UNIC,ATF/UNICOM,122.800
CYOS,CNTR,TORONTO CNTR,132.575
CYOS,UNIC,ATF/UNICOM,123.000
CYOW,ARR,Ottawa Arrivals,135.150
CYOW,ATIS,English ATIS,121.150
CYOW,ATIS,French ATIS,132.950
CYOW,CLNC DEL,Ottawa Clearance,119.400
CYOW,DEP,Ottawa Departures,128.175
CYOW,GND,Ottawa Ground,121.900
CYOW,RCO,Quebec Radio,123.150
CYOW,TML,Ottawa Terminal,127.700
CYOW,TWR,Ottawa Tower,118.800
CYPA,ARR,Winnipag Control,133.900
CYPA,DEP,Winnipeg Control,133.900
CYPA,INFO,ATHABASKA AWYS,129.450
CYPA,MF,"Prince Albert Radio, 5nm below 4400ASL",122.300
CYPA,RADIO,Prince Albert Radio,122.300
CYPA,RCO,Winnipeg Radio,123.475
CYPA,VDF,,122.300
CYPC,ATF,MANDATORY FREQ,122.100
CYPC,RDO,ARPT RDO,122.100
CYPD,RDO,HALIFAX RDO,126.700
CYPD,UNIC,ATF/UNICOM,122.800
CYPE,A/G,MF,122.300
CYPE,CNTR,EDMONTON CNTR,133.275
CYPE,FSS,RDO,122.300
CYPE,RCO,EDMONTON RDO,123.275
CYPG,ATF,ATF,126.200
CYPG,ATIS,ATIS,120.850
CYPG,GND,GND,121.700
CYPG,TWR,TWR,126.200
CYPK,ATF,ATF,126.300
CYPK,ATIS,ATIS,125.000
CYPK,GND,GND,123.800
CYPK,TWR,TWR,126.300
CYPL,RCO,WINNIPEG RDO,122.200
CYPL,RDO,MF THUNDER BAY RDO,122.200
CYPN,UNIC,ATF/UNICOM,123.500
CYPQ,AWOS,AWOS,126.925
CYPQ,CNTR,TORONTO CNTR,134.250
CYPQ,UNIC,ATF/UNICOM,122.025
CYPR,A/G,RUPERT RDO,122.500
CYPR,CNTR,VANCOUVER CNTR,128.000
