ident,type,name,municipality,iso_country,iso_region,iata_code,elevation_ft,lat,lon
UHMK,medium_airport,Keperveem Airport,Keperveem,RU,RU-CHU,KPW,623,67.8450,166.1400
UHML,small_airport,Lavrentiya Airport,Lavrentiya,RU,RU-CHU,,30,65.5804,-170.9992
UHMM,medium_airport,Sokol Airport,Magadan,RU,RU-MAG,GDX,574,59.9110,150.7200
UHMN,small_airport,Omolon Airport,Omolon,RU,RU-CHU,,,65.2400,160.5400
UHMO,small_airport,Markovo Airport,Markovo,RU,RU-CHU,KVM,75,64.6654,170.4176
UHMP,medium_airport,Pevek Airport,Apapelgino,RU,RU-CHU,PWE,11,69.7833,170.5970
UHMR,small_airport,Beringovskiy Airport,Beringovsky,RU,RU-CHU,,3,63.0200,179.2930
UHMS,medium_airport,Seymchan Airport,Seymchan,RU,RU-MAG,,679,62.9208,152.4228
UHMT,medium_airport,Magadan-13 Airport,Magadan,RU,RU-MAG,,164,59.6233,150.9220
UHMW,medium_airport,Severo-Evensk Airport,Evensk,RU,RU-MAG,SWV,32,61.9218,159.2291
UHMZ,small_airport,Wrangel Island Airport,Wrangel Island,RU,RU-CHU,,112,70.9454,-179.5000
UHNA,small_airport,Munuk Airport,Ayan,RU,RU-KHA,,15,56.4321,138.0449
UHNB,small_airport,Bogorodskoye Airport,Bogorodskoye,RU,RU-KHA,BQG,150,52.3810,140.4494
UHNK,small_airport,Mar-Kyuel Airport,Mar-Kyuel,RU,RU-KHA,,2684,57.4517,132.5275
UHNN,medium_airport,Nikolayevsk-na-Amure Airport,Nikolayevsk-na-Amure Airport,RU,RU-KHA,NLI,170,53.1550,140.6500
UHNT,small_airport,Tugur Airport,Tugur,RU,RU-KHA,,,53.7759,136.8330
UHOA,small_airport,Arka Airport,Arka,RU,RU-KHA,,749,60.1012,142.3015
UHOO,medium_airport,Okhotsk Airport,Okhotsk,RU,RU-KHA,OHO,45,59.4101,143.0565
UHPA,small_airport,Ust-Pakhachi Airport,Ust-Pakhachi,RU,RU-KAM,,10,60.5566,169.1077
UHPD,small_airport,Ossora Airport,Ossora,RU,RU-KAM,,13,59.2236,163.0664
UHPG,small_airport,Tigil Airport,Tigil,RU,RU-KAM,,430,57.7840,158.7300
UHPH,small_airport,Khalaktyrka Airport,Petropavlovsk-Kamchatskiy,RU,RU-KAM,,95,53.0262,158.7220
UHPK,small_airport,Ust'-Kamchatsk Airport,Ust'-Kamchatsk (Krutoberegovo),RU,RU-KAM,,200,56.2389,162.6900
UHPL,medium_airport,Palana Airport,Palana,RU,RU-KAM,,112,59.0821,159.8916
UHPM,small_airport,Milkovo Airport,Milkovo,RU,RU-KAM,,410,54.6806,158.5485
UHPN,small_airport,Manily Airport,Manily,RU,RU-KAM,,33,62.4860,165.3389
UHPO,heliport,Kozyrevsk Heliport,Kozyrevsk,RU,RU-KAM,,331,56.0901,159.8763
UHPP,medium_airport,Yelizovo Airport,Petropavlovsk-Kamchatsky,RU,RU-KAM,PKC,131,53.1676,158.4519
UHPT,small_airport,Tilichiki Airport,Korf,RU,RU-KAM,,7,60.3842,166.0250
UHPU,small_airport,Ust-Khayryuzovo Airport,Ust-Khayryuzovo,RU,RU-KAM,,,57.0997,156.7372
UHPX,small_airport,Nikolskoye Airport,Nikolskoye,RU,RU-KAM,,49,55.1783,166.0483
UHQO,small_airport,Sobolevo Airport,Sobolevo,RU,RU-KAM,,87,54.3070,155.9737
UHSB,small_airport,Burevestnik Airport,Kurilsk,RU,RU-SAK,BVV,79,44.9200,147.6220
UHSH,small_airport,Okha Airport,Okha,RU,RU-SAK,OHH,123,53.5164,142.8814
UHSI,small_airport,Iturup Airport,Kurilsk,RU,RU-SAK,ITU,387,45.2564,147.9555
UHSK,small_airport,Shakhtyorsk Airport,Shakhtyorsk,RU,RU-SAK,EKS,50,49.1903,142.0830
UHSM,small_airport,Yuzhno-Kurilsk Mendeleyevo Airport,Yuzhno-Kurilsk,RU,RU-SAK,DEE,584,43.9611,145.6850
UHSN,small_airport,Nogliki Airport,Nogliki,RU,RU-SAK,NGK,109,51.7840,143.1418
UHSO,small_airport,Zonalnoye Airport,Tymovskoye,RU,RU-SAK,ZZO,479,50.6692,142.7610
UHSS,medium_airport,Yuzhno-Sakhalinsk Airport,Yuzhno-Sakhalinsk,RU,RU-SAK,UUS,59,46.8855,142.7175
UHTG,small_airport,Amgu Airport,Amgu,RU,RU-PRI,AEM,10,45.8413,137.6736
UHTO,small_airport,Vostok Airfield,,RU,RU-PRI,,1220,46.4022,135.7886
UHTQ,small_airport,Svetlaya Airport,Svetlaya,RU,RU-PRI,ETL,131,46.5417,138.3217
UHTS,small_airport,Samarga Airport,,RU,RU-PRI,,13,47.2508,138.7895
UHWE,small_airport,Yedinka Airport,Yedinka,RU,RU-PRI,EDN,98,47.1782,138.6574
UHWK,small_airport,Kavalerovo Airport,Kavalerovo,RU,RU-PRI,KVR,730,44.2726,135.0290
